#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-14T19:27:36 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-14T19:27:37	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-order=I&-c.r=  2&-c.geom=r&-out.src=J/A+A/685/A106/emain&-source=J/A+A/685/A106/emain&-out=Name&-out=RAJ2000&-out=DEJ2000&-out=Exp&-out=zBest&-out=CR500&-out=CTS500&-out=F500&-out=L500&-out=KT&-out=Mgas500&-out=YX500&-out=M500&-out=Fgas500&-out=R500&-out.max=1000&-c.eq=J2000&-c.u=arcmin&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36850106
#Name: J/A+A/685/A106
#Title: eRASS. Galaxy clusters and groups in WGH (Bulbul+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/685/a106	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/685/a106	    IVOID of underlying data collection
#INFO	creator=Bulbul E.	    First author or institution
#INFO	cites=bibcode:2024A&A...685A.106B	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/685/A106	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36850106	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_685_A106_emain:
#Name: J/A+A/685/A106/emain
#Title: Primary galaxy clusters and groups catalog
#Column	Name	(A23)	Source name, 1eRASS JHHMMSS.s+DDMMSS	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F15.11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F15.11)	Declination J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Exp	(F6.1)	Average exposure	[ucd=time.expo]
#Column	zBest	(F7.4)	Best available redshift	[ucd=src.redshift]
#Column	CR500	(F8.3)	0.2-2.3keV count rate within R500	[ucd=phot.count;em.X-ray]
#Column	CTS500	(F8.1)	0.2-2.3keV counts within R500	[ucd=phot.count;em.X-ray]
#Column	F500	(F10.3)	? 0.2-2.3keV flux within R500	[ucd=phot.flux;em.X-ray]
#Column	L500	(F9.3)	? 0.2-2.3keV luminosity within R500	[ucd=phys.luminosity;em.X-ray]
#Column	KT	(F6.2)	? Temperature measured by MBProj2D	[ucd=phys.temperature]
#Column	Mgas500	(F7.2)	? Calibrated cluster gas mass within R500	[ucd=phys.mass]
#Column	YX500	(F8.2)	? The mass proxy within R500	[ucd=phys.mass]
#Column	M500	(F7.2)	? CLuster total mass M500 from eROCOP	[ucd=phys.mass]
#Column	Fgas500	(F6.3)	? Cluster gas mass fraction within R500	[ucd=phys.mass]
#Column	R500	(I5)	? Overdensity radius R500 from eROCOP	[ucd=phys.size.radius]
Name;RAJ2000;DEJ2000;Exp;zBest;CR500;CTS500;F500;L500;KT;Mgas500;YX500;M500;Fgas500;R500
1eRASS J004759.1-382639;011.99654830559;-38.44420436594; 106.9; 0.2640;   0.659;    70.5;    60.482;  154.791;      ; 375.00;    0.00;  41.25; 0.092; 1035
1eRASS J004801.5-564229;012.00640410537;-56.70829017851; 145.7; 0.2779;   0.146;    21.2;    13.236;   33.548;  2.01;  42.93;   93.77;  11.40; 0.037;  671
1eRASS J004837.0-343817;012.15428877760;-34.63813594334; 122.2; 0.3442;   0.086;    10.5;     7.677;   34.132;      ;  47.97;    0.00;  10.84; 0.044;  643
1eRASS J004853.5-883601;012.22310185078;-88.60053058924; 201.4; 0.7548;   0.099;    20.0;     9.196;  254.525;      ; 198.88;    0.00;  25.81; 0.074;  731
1eRASS J004906.5-552122;012.27741751786;-55.35620579276; 130.0; 0.5668;   0.135;    17.6;    12.941;  141.175;      ; 175.86;    0.00;  23.31; 0.073;  761
1eRASS J004915.8-765522;012.31592357181;-76.92299765560; 185.3; 0.5689;   0.083;    15.4;     7.719;  103.895;      ;  98.60;    0.00;  19.59; 0.053;  718
1eRASS J004918.2-561543;012.32610934441;-56.26219258095; 135.7; 0.3830;   0.074;    10.0;          ;         ;      ;       ;        ;       ;      ;
1eRASS J004922.3-293108;012.34295547267;-29.51897999910; 116.7; 0.1085;   3.345;   390.2;   318.993;  100.400;      ; 291.21;    0.00;  39.52; 0.073; 1078
1eRASS J004924.5-662034;012.35229306951;-66.34293368488; 176.4; 0.7972;   0.118;    20.8;    11.243;  248.244;      ; 179.03;    0.00;  27.33; 0.064;  733
1eRASS J004924.8-801259;012.35342599245;-80.21666440618; 193.0; 0.3891;   0.155;    30.0;    14.309;   84.815;      ; 170.97;    0.00;  20.64; 0.082;  784
1eRASS J004928.1-561746;012.36725347827;-56.29625714896; 135.5; 0.3838;   0.082;    11.2;     7.583;   37.923;      ;  17.28;    0.00;  11.76; 0.017;  651
1eRASS J004929.7-584220;012.37386969837;-58.70574650104; 152.4; 0.1414;   0.330;    50.3;    31.635;   16.505;      ;  66.41;    0.00;  11.04; 0.058;  697
1eRASS J004933.6-531454;012.39007629732;-53.24840687463; 123.3; 0.6920;   0.207;    25.5;    19.425;  355.856;      ; 424.42;    0.00;  37.63; 0.107;  850
1eRASS J004938.9-273432;012.41232977688;-27.57571814764; 114.4; 0.3248;   0.269;    30.8;    24.146;   87.101;  1.58; 180.08;  318.27;  23.05; 0.074;  833
1eRASS J004940.9-790055;012.42050396838;-79.01536267157; 190.3; 0.2253;   0.058;    11.1;          ;         ;      ;       ;        ;       ;      ;
1eRASS J004944.6-404427;012.43616892286;-40.74108606734; 104.2; 0.2228;   0.466;    48.5;    44.607;   65.492;      ; 195.64;    0.00;  23.40; 0.079;  870
1eRASS J004945.4-524713;012.43954389441;-52.78710395285; 121.8; 0.5914;   0.197;    24.0;    18.341;  252.153;      ; 338.39;    0.00;  32.24; 0.102;  840
1eRASS J004954.5-660057;012.47739938239;-66.01589884669; 176.7; 0.1660;   0.276;    48.8;    26.213;   20.616;      ;  82.41;    0.00;  11.75; 0.072;  705
1eRASS J004956.8-412813;012.48685691893;-41.47046140929; 105.2; 0.9783;   0.111;    11.6;    10.468;  393.339;      ; 300.19;    0.00;  26.13; 0.107;  672
1eRASS J005001.7-301102;012.50710044569;-30.18400273842; 116.5; 0.2859;   0.138;    16.1;    12.757;   33.743;      ;  57.67;    0.00;  11.09; 0.048;  663
1eRASS J005023.9-681225;012.59997799205;-68.20704068032; 161.7; 0.1702;   0.000;     0.0;          ;         ;      ;       ;        ;       ;      ;
1eRASS J005041.4-501645;012.67266747072;-50.27919440209; 119.2; 0.1633;   0.370;    44.1;    35.559;   25.874;      ;  86.33;    0.00;  13.18; 0.065;  734
1eRASS J005046.5-502929;012.69410309715;-50.49165401117; 120.9; 0.7207;   0.144;    17.4;    13.475;  282.819;  2.15;  42.94;  201.81;  29.57; 0.018;  775
1eRASS J005056.5-385433;012.73581242884;-38.90919261541; 116.5; 0.2287;   0.172;    20.1;    16.072;   26.965;      ;  30.20;    0.00;  11.20; 0.029;  679
1eRASS J005059.9-352226;012.74993650058;-35.37396081224; 122.2; 0.4438;   0.127;    15.5;    11.579;   89.353;      ;  16.23;    0.00;  21.27; 0.009;  775
1eRASS J005109.9-483416;012.79155742270;-48.57128215263; 103.0; 0.1873;   1.205;   124.0;   115.278;  118.752;      ; 361.90;    0.00;  42.23; 0.086; 1072
1eRASS J005124.0-283022;012.85022878975;-28.50635751005; 112.9; 0.1112;   2.592;   292.8;   243.262;   82.599;  3.26; 308.61; 1011.87;  35.00; 0.088; 1034
1eRASS J005132.6-301946;012.88594057757;-30.32965472199; 116.1; 0.2631;   0.886;   102.9;    83.285;  178.428;      ; 294.61;    0.00;  48.36; 0.061; 1092
1eRASS J005132.6-483254;012.88614506544;-48.54857446642; 102.8; 0.1912;   0.222;    22.8;          ;         ;      ;       ;        ;       ;      ;
1eRASS J005152.4-400239;012.96834409935;-40.04432625822; 104.3; 0.9103;   0.137;    14.3;    12.494;  505.313;  1.84; 422.80;  878.02;  32.84; 0.126;  745
1eRASS J005203.1-774249;013.01302014890;-77.71373383241; 180.5; 0.3537;   0.365;    65.9;    33.881;  157.899;  5.71; 194.50; 1235.25;  30.79; 0.057;  908
1eRASS J005233.3-685527;013.13910585512;-68.92421772218; 162.7; 0.2455;   0.217;    35.2;    19.545;   39.394;      ;  94.59;    0.00;  14.82; 0.062;  741
1eRASS J005235.1-574639;013.14655073812;-57.77762498180; 150.5; 0.2616;   1.195;   179.8;   112.132;  242.175;      ; 467.45;    0.00;  60.84; 0.076; 1179
1eRASS J005236.2-565753;013.15112072272;-56.96496930226; 141.1; 0.3190;   0.416;    58.7;    39.832;  115.167;      ; 197.09;    0.00;  34.62; 0.058;  957
1eRASS J005240.2-801537;013.16761458382;-80.26033995680; 193.6; 0.1185;   4.089;   791.8;   381.429;  171.871;  3.75; 288.03; 1066.46;  50.33; 0.057; 1164
1eRASS J005248.0-455203;013.20034700668;-45.86768008250; 112.5; 0.3607;   0.257;    29.0;    24.075;  105.129;  2.45; 197.12;  554.13;  24.29; 0.076;  837
1eRASS J005340.1-444743;013.41728692196;-44.79554694812; 109.9; 0.4704;   0.152;    16.7;    14.542;  105.257;      ; 188.80;    0.00;  22.20; 0.077;  778
1eRASS J005449.6-450850;013.70676787385;-45.14741785613; 109.9; 0.9526;   0.138;    15.2;    13.202;  463.910;      ; 120.54;    0.00;  28.64; 0.047;  700
1eRASS J005500.2-684538;013.75101467307;-68.76069724888; 160.6; 0.1663;   0.769;   123.6;    72.179;   59.362;      ; 163.81;    0.00;  26.36; 0.061;  923
1eRASS J005503.3-513039;013.76375128508;-51.51106200524; 121.6; 0.3513;   0.068;     8.3;          ;         ;      ;       ;        ;       ;      ;
1eRASS J005525.5-610829;013.85649713794;-61.14148431024; 161.9; 0.2020;   0.051;     8.3;          ;         ;      ;       ;        ;       ;      ;
1eRASS J005529.6-684329;013.87347829523;-68.72489256423; 162.9; 0.1677;   0.158;    25.7;    14.696;   12.891;      ;  33.54;    0.00;   8.02; 0.042;  621
1eRASS J005546.8-372401;013.94516436559;-37.40051428841; 126.9; 0.0555;   1.811;   229.8;   174.536;   14.397;      ;  82.24;    0.00;  12.50; 0.065;  747
1eRASS J005548.5-285249;013.95240672901;-28.88042425485; 116.3; 0.6009;   0.170;    19.8;    16.047;  211.953;      ; 326.28;    0.00;  28.77; 0.109;  806
1eRASS J005603.0-562314;014.01275634055;-56.38739359681; 131.5; 0.1584;   0.147;    19.3;    13.773;    9.779;      ;  25.90;    0.00;   7.01; 0.038;  595
1eRASS J005603.6-373252;014.01501339764;-37.54786547961; 126.7; 0.1600;   1.437;   182.0;   137.301;  105.932;      ; 277.81;    0.00;  40.68; 0.069; 1069
1eRASS J005632.3-312119;014.13476590214;-31.35551291531; 117.0; 0.1624;   0.091;    10.6;     8.219;    6.404;      ;   9.60;    0.00;   4.43; 0.023;  510
1eRASS J005645.9-323433;014.19135237901;-32.57584273412; 120.7; 0.9634;   0.001;     0.1;          ;         ;      ;       ;        ;       ;      ;
1eRASS J005657.6-600222;014.24008062582;-60.03961908055; 159.7; 0.5028;   0.100;    16.0;     9.145;   90.017;  1.58;  65.16;  141.82;  17.70; 0.039;  712
1eRASS J005710.1-793723;014.29215000536;-79.62331018247; 194.8; 0.8701;   0.019;     3.7;          ;         ;      ;       ;        ;       ;      ;
1eRASS J005715.8-884551;014.31592719652;-88.76435878403; 199.4; 0.4997;   0.119;    23.7;     9.690;  146.218;  1.01; 171.87;  182.61;  31.96; 0.054;  869
1eRASS J005724.6-261631;014.35273801710;-26.27545690641; 188.3; 0.1150;   1.540;   289.9;   145.548;   52.408;  3.77; 184.08;  718.50;  27.45; 0.067;  952
1eRASS J005748.4-670043;014.45170427087;-67.01212409900; 182.2; 0.2504;   0.223;    40.7;    19.784;   39.893;  1.81; 117.81;  221.19;  15.90; 0.067;  757
1eRASS J005749.9-285125;014.45806561716;-28.85695057026; 113.6; 1.0959;   0.069;     7.9;          ;         ;      ;       ;        ;       ;      ;
1eRASS J005758.5-365317;014.49390900055;-36.88815173545; 126.6; 0.8596;   0.123;    15.6;    11.733;  331.155;      ; 180.14;    0.00;  26.14; 0.068;  704
1eRASS J005801.1-374920;014.50467182205;-37.82241276124; 127.3; 0.5406;   0.050;     6.4;          ;         ;      ;       ;        ;       ;      ;
1eRASS J005803.2-664817;014.51346249472;-66.80481514224; 184.4; 0.0655;   2.830;   521.7;   268.034;   30.565;  4.44; 124.53;  535.42;  19.44; 0.064;  863
1eRASS J005820.6-614605;014.58588811180;-61.76822391656; 165.6; 0.8260;   0.109;    18.0;    10.137;  301.640;  1.91; 278.16;  588.65;  24.16; 0.111;  695
1eRASS J005905.5-635751;014.77316236720;-63.96435465473; 175.0; 0.1994;   0.113;    19.8;    10.483;   12.623;      ;  42.67;    0.00;   6.72; 0.058;  579
1eRASS J005910.1-285933;014.79212186205;-28.99273139542; 115.5; 0.1990;   0.493;    57.0;    46.750;   54.250;      ; 177.51;    0.00;  22.02; 0.082;  860
1eRASS J005946.0-294003;014.94193440744;-29.66761252264; 114.5; 0.1616;   0.472;    54.0;    39.617;   31.726;  1.07;  82.73;   84.11;  16.83; 0.050;  796
1eRASS J010007.4-284558;015.03099862358;-28.76614887080; 115.5; 0.2161;   0.679;    78.4;    64.277;   89.268;      ; 240.64;    0.00;  31.44; 0.074;  962
1eRASS J010008.2-673930;015.03417108133;-67.65855041848; 175.5; 0.0645;   0.050;     8.8;          ;         ;      ;       ;        ;       ;      ;
1eRASS J010025.9-390836;015.10797445407;-39.14350116564; 129.9; 0.1995;   0.546;    70.9;    50.198;   63.034;  2.04; 121.75;  268.48;  24.56; 0.049;  891
1eRASS J010029.8-474920;015.12458256455;-47.82242527997; 116.4; 0.4303;   0.241;    28.0;    22.732;  139.063;      ; 301.58;    0.00;  28.61; 0.104;  860
1eRASS J010058.2-394110;015.24271420787;-39.68627300833; 133.0; 1.1583;   0.118;    15.7;    11.946; 1515.455;      ; 626.94;    0.00;  33.75; 0.251;  683
1eRASS J010105.9-401020;015.27471277314;-40.17239752849; 131.9; 0.2061;   0.406;    53.5;    35.608;   48.620;      ; 125.65;    0.00;  18.69; 0.063;  812
1eRASS J010111.0-604728;015.29616797344;-60.79120605278; 165.1; 0.2088;   0.734;   121.2;    69.088;   94.088;      ; 254.51;    0.00;  34.83; 0.072;  998
1eRASS J010123.4-474409;015.34785886149;-47.73610663317; 117.6; 0.8507;   0.100;    11.8;     8.989;  346.005;      ; 283.36;    0.00;  25.71; 0.104;  703
1eRASS J010123.5-764801;015.34803049290;-76.80052708587; 183.0; 0.3996;   0.614;   112.3;    56.871;  372.041;  4.00; 721.55; 3015.68;  67.67; 0.107; 1160
1eRASS J010138.9-521911;015.41211036847;-52.31982692833; 125.2; 0.4762;   0.115;    14.4;    10.630;   86.868;      ; 121.21;    0.00;  16.83; 0.068;  708
1eRASS J010141.3-384031;015.42242778047;-38.67543845474; 129.3; 0.2661;   0.871;   112.7;    82.974;  183.088;      ; 444.05;    0.00;  49.14; 0.090; 1096
1eRASS J010152.8-452541;015.47032871376;-45.42830829587; 111.3; 0.7563;   0.096;    10.7;          ;         ;      ;       ;        ;       ;      ;
1eRASS J010155.6-340017;015.48188580471;-34.00486005816; 121.3; 1.0829;   0.093;    11.2;     8.727;  428.674;      ;  57.44;    0.00;  23.14; 0.030;  620
1eRASS J010157.8-554254;015.49117713112;-55.71513166269; 133.2; 0.2246;   0.251;    33.5;    23.594;   36.095;      ; 116.40;    0.00;  15.37; 0.075;  756
1eRASS J010159.4-395638;015.49754913795;-39.94405272698; 132.6; 0.1989;   0.792;   105.0;    76.638;   85.978;      ; 274.23;    0.00;  32.05; 0.082;  974
1eRASS J010210.5-673436;015.54415035414;-67.57684949238; 178.4; 0.0652;   0.655;   116.9;    56.866;    6.773;  1.18;  34.14;   42.60;   6.80; 0.049;  608
1eRASS J010231.8-314016;015.63275714821;-31.67118740297; 120.4; 0.1094;   0.240;    28.9;    22.490;    7.811;      ;  32.14;    0.00;   5.71; 0.050;  565
1eRASS J010234.6-374246;015.64435689840;-37.71293074646; 128.0; 0.2963;   0.307;    39.3;    29.138;   80.973;      ; 147.58;    0.00;  23.29; 0.063;  845
1eRASS J010237.1-460348;015.65488044380;-46.06350424810; 114.5; 0.8397;   0.152;    17.4;    14.540;  392.980;      ; 422.61;    0.00;  29.80; 0.133;  741
1eRASS J010253.6-821721;015.72367415259;-82.28923418393; 198.7; 0.0569;   1.108;   220.2;    89.293;    9.450;  0.96;  37.07;   35.05;  10.00; 0.037;  693
1eRASS J010256.5-291054;015.73568155285;-29.18190776270; 161.8; 0.2685;   0.531;    85.8;    49.980;  111.104;      ; 334.64;    0.00;  35.83; 0.094;  986
1eRASS J010257.4-491609;015.73922394326;-49.26942779894; 120.0; 0.8687;   1.375;   165.1;   132.557; 3595.574;      ;2006.01;    0.00; 148.05; 0.135; 1251
1eRASS J010257.5-661457;015.73996492688;-66.24926083211; 169.3; 0.6111;   0.097;    16.4;     9.123;  131.426;      ;  98.14;    0.00;  20.54; 0.048;  717
1eRASS J010305.8-555923;015.77420025632;-55.98983766978; 135.4; 0.1587;   0.494;    66.8;    44.165;   34.083;      ;  96.63;    0.00;  16.17; 0.059;  787
1eRASS J010335.9-282039;015.89998255269;-28.34438026095; 228.3; 0.2184;   0.418;    95.3;    36.610;   57.701;  1.30; 153.64;  206.10;  24.53; 0.063;  885
1eRASS J010349.9-555246;015.95820517384;-55.87944856022; 136.2; 0.1616;   0.445;    60.6;    40.032;   31.259;      ; 112.70;    0.00;  16.63; 0.067;  793
1eRASS J010354.3-394521;015.97637080486;-39.75604728831; 132.8; 0.1073;   0.259;    34.3;          ;         ;      ;       ;        ;       ;      ;
1eRASS J010357.3-445242;015.98900521748;-44.87842926708; 111.3; 0.5254;   0.144;    16.0;    13.510;  133.350;      ; 209.54;    0.00;  23.99; 0.084;  781
1eRASS J010402.1-675243;016.00886175280;-67.87878643735; 177.4; 0.4829;   0.172;    30.6;    16.267;  132.448;      ; 266.80;    0.00;  26.03; 0.097;  817
1eRASS J010421.8-513320;016.09085692348;-51.55577285131; 115.0; 0.3389;   0.045;     5.1;          ;         ;      ;       ;        ;       ;      ;
1eRASS J010424.9-331412;016.10416625540;-33.23688070506; 122.4; 0.2761;   0.287;    35.2;    26.976;   64.764;      ; 162.03;    0.00;  20.21; 0.075;  812
1eRASS J010427.5-341920;016.11460485061;-34.32247814099; 123.2; 0.5266;   0.020;     2.4;          ;         ;      ;       ;        ;       ;      ;
1eRASS J010445.8-673938;016.19105715202;-67.66058014318; 180.7; 0.3293;   0.325;    58.7;    31.168;   99.896;      ; 215.64;    0.00;  29.75; 0.071;  906
1eRASS J010445.8-394539;016.19114297603;-39.76104383236; 132.4; 0.1069;   0.412;    54.5;    38.912;   12.044;      ;  57.28;    0.00;   8.93; 0.064;  657
1eRASS J010446.5-621907;016.19381473138;-62.31883558406; 171.8; 0.6063;   0.123;    21.2;    10.510;  186.382;      ;  85.78;    0.00;  24.81; 0.036;  765
1eRASS J010458.7-660911;016.24490018295;-66.15316153555; 166.4; 0.8933;   0.034;     5.6;          ;         ;      ;       ;        ;       ;      ;
1eRASS J010507.6-384628;016.28193351923;-38.77460171994; 129.9; 0.5991;   0.061;     8.0;          ;         ;      ;       ;        ;       ;      ;
1eRASS J010508.1-785705;016.28379536708;-78.95151757881; 196.8; 0.1126;   0.222;    43.7;    21.386;    8.225;      ;  32.25;    0.00;   6.67; 0.044;  595
1eRASS J010529.7-353920;016.37408936761;-35.65578607178; 125.3; 0.3103;   0.047;     5.9;          ;         ;      ;       ;        ;       ;      ;
1eRASS J010550.6-602431;016.46113745789;-60.40887703405; 163.7; 0.3667;   0.061;     9.9;          ;         ;      ;       ;        ;       ;      ;
1eRASS J010559.2-440414;016.49679578909;-44.07066353830; 114.9; 0.3930;   0.304;    35.0;    28.490;  158.806;      ;  17.08;    0.00;  30.91; 0.007;  896
1eRASS J010602.5-250657;016.51072391126;-25.11610989980; 125.8; 0.2304;   1.097;   138.0;    99.249;  168.823;  1.71; 364.41;  649.26;  48.75; 0.075; 1108
1eRASS J010605.9-321524;016.52496969711;-32.25685782271; 118.0; 0.1453;   0.063;     7.4;     5.997;    3.516;      ;   4.70;    0.00;   2.83; 0.020;  442
1eRASS J010609.0-554437;016.53759973863;-55.74363864802; 132.7; 0.1279;   0.209;    27.7;    19.033;    8.822;      ;  26.60;    0.00;   6.48; 0.038;  586
1eRASS J010609.6-370021;016.54010097881;-37.00586774474; 128.1; 0.2722;   0.318;    40.8;    30.360;   68.567;      ; 144.21;    0.00;  22.43; 0.065;  842
1eRASS J010615.4-484558;016.56432783939;-48.76617280278; 120.7; 0.1854;   0.116;    14.0;          ;         ;      ;       ;        ;       ;      ;
1eRASS J010616.4-535537;016.56841555098;-53.92697814776; 129.3; 0.4859;   0.341;    44.1;    31.820;  271.151;  3.34; 505.40; 1772.66;  45.67; 0.110;  984
1eRASS J010622.9-410904;016.59580284699;-41.15124650367; 136.2; 0.4691;   0.243;    33.1;    21.836;  198.850;  1.94; 219.55;  452.94;  31.88; 0.067;  878
1eRASS J010624.7-325842;016.60318376228;-32.97857523280; 120.4; 0.1453;   0.306;    36.9;    28.331;   17.670;      ;  53.62;    0.00;   9.90; 0.052;  671
1eRASS J010625.6-594315;016.60705433277;-59.72092603176; 161.9; 0.3480;   0.796;   128.9;    74.293;  298.442;  3.82; 598.31; 2269.34;  63.74; 0.093; 1160
1eRASS J010643.2-575953;016.68011035635;-57.99822686941; 141.9; 0.2901;   0.370;    52.5;    34.467;   94.202;      ; 238.30;    0.00;  28.48; 0.082;  906
1eRASS J010652.2-311054;016.71782562526;-31.18183233743; 141.8; 0.9817;   0.102;    14.5;     9.019;  701.345;  0.88; 197.09;  162.18;  28.30; 0.072;  689
1eRASS J010702.9-423926;016.76217829550;-42.65744101284; 135.9; 0.2079;   0.298;    40.5;    27.859;   36.626;  2.46;  26.11;  103.32;  15.25; 0.018;  758
1eRASS J010718.7-301525;016.82831130837;-30.25696288617; 218.9; 0.5188;   0.122;    26.6;    11.475;  110.004;      ; 233.15;    0.00;  22.03; 0.104;  762
1eRASS J010725.6-633207;016.85703197506;-63.53553417883; 176.7; 0.2523;   1.043;   184.3;    93.741;  195.690;  1.67; 196.45;  346.93;  53.17; 0.037; 1131
1eRASS J010730.5-485440;016.87744828538;-48.91125439373; 120.2; 0.5827;   0.111;    13.3;    10.093;  135.745;      ; 219.03;    0.00;  22.92; 0.085;  752
1eRASS J010750.2-531116;016.95935196716;-53.18790629745; 130.1; 0.7985;   0.173;    22.5;    16.749;  770.506;      ; 306.04;    0.00;  36.90; 0.082;  809
1eRASS J010750.4-364317;016.96024993829;-36.72162945092; 127.2; 0.1213;   1.852;   235.5;   170.444;   67.301;  1.84; 175.11;  345.32;  33.47; 0.054; 1015
1eRASS J010751.8-472144;016.96612979641;-47.36235223225; 118.7; 0.1437;   0.156;    18.5;    14.848;   11.170;      ;  36.15;    0.00;   6.36; 0.056;  579
1eRASS J010756.5-430832;016.98573497113;-43.14241576671; 137.4; 0.2403;   0.044;     6.1;          ;         ;      ;       ;        ;       ;      ;
1eRASS J010756.6-465217;016.98615473641;-46.87164044960; 117.8; 0.0231;   2.765;   325.8;   237.527;    3.193;  1.07;  22.39;   24.15;   5.01; 0.045;  556
1eRASS J010756.8-431118;016.98693649776;-43.18852941300; 139.4; 0.2402;   0.524;    73.1;    49.594;   81.554;      ; 271.52;    0.00;  30.59; 0.089;  945
1eRASS J010802.5-244744;017.01051506413;-24.79577820646; 126.0; 0.1874;   0.056;     7.1;          ;         ;      ;       ;        ;       ;      ;
1eRASS J010805.8-364711;017.02436232130;-36.78654293262; 127.2; 0.1210;   0.817;   103.9;    75.245;   31.349;      ; 119.46;    0.00;  17.57; 0.064;  819
1eRASS J010806.6-433953;017.02786767942;-43.66498477048; 136.1; 0.2845;   0.145;    19.8;          ;         ;      ;       ;        ;       ;      ;
1eRASS J010819.3-790441;017.08052134187;-79.07819255398; 198.8; 0.1199;   1.865;   370.7;   176.289;   81.508;  4.12; 253.18; 1088.94;  35.54; 0.071; 1036
1eRASS J010823.9-374426;017.09989571466;-37.74068079182; 129.9; 0.1767;   0.267;    34.7;    23.135;   22.198;  1.30;  74.53;   94.98;  12.01; 0.061;  708
1eRASS J010826.7-434113;017.11126276105;-43.68708088492; 139.9; 0.2349;   0.752;   105.3;    69.758;  118.578;  2.68; 320.72;  832.72;  39.39; 0.080; 1030
1eRASS J010833.0-431642;017.13774115166;-43.27856886062; 138.8; 0.2392;   0.213;    29.6;    17.930;   35.511;      ; 101.10;    0.00;  13.76; 0.069;  724
1eRASS J010835.1-425343;017.14649095596;-42.89532334019; 138.4; 0.4519;   0.105;    14.5;     9.883;   69.296;      ;  70.31;    0.00;  16.08; 0.045;  704
1eRASS J010839.1-402039;017.16305345319;-40.34437695471; 134.1; 0.1458;   1.262;   169.2;   117.607;   73.726;  2.49; 228.08;  571.73;  31.83; 0.072;  990
1eRASS J010856.6-522755;017.23588953796;-52.46543587760; 117.4; 0.2701;   0.353;    41.4;    33.663;   74.070;      ; 206.93;    0.00;  24.04; 0.086;  863
1eRASS J010901.0-343547;017.25424669774;-34.59658075029; 123.6; 0.5509;   0.108;    13.3;    10.376;  106.264;      ;  74.04;    0.00;  18.31; 0.042;  707
1eRASS J010909.8-583507;017.29089860486;-58.58542826439; 143.6; 0.3817;   0.114;    16.4;    10.743;   53.834;      ;  37.10;    0.00;  15.11; 0.026;  709
1eRASS J010911.2-243244;017.29677111134;-24.54574802748; 124.3; 0.4171;   0.452;    56.2;    42.366;  248.144;      ; 427.01;    0.00;  46.46; 0.089; 1016
1eRASS J010912.0-492635;017.30000263971;-49.44321742532; 122.9; 0.1303;   0.005;     0.6;          ;         ;      ;       ;        ;       ;      ;
1eRASS J010938.3-562920;017.40998527211;-56.48889598320; 138.0; 0.4815;   0.104;    14.4;          ;         ;      ;       ;        ;       ;      ;
1eRASS J010939.9-644914;017.41661666501;-64.82057212355; 181.2; 0.2153;   0.397;    72.0;    36.724;   53.527;      ; 165.27;    0.00;  21.98; 0.074;  854
1eRASS J010954.3-455544;017.47660976060;-45.92911727704; 115.2; 0.0238;  13.212;  1521.5;  1230.726;   17.075;  2.35;  90.45;  216.31;  13.42; 0.067;  773
1eRASS J010957.3-303024;017.48883493191;-30.50671679240; 224.9; 0.5197;   0.095;    21.4;     8.998;   84.575;      ; 160.39;    0.00;  17.14; 0.091;  700
1eRASS J010957.5-521943;017.48978326152;-52.32877638027; 113.1; 0.6902;   0.087;     9.9;     8.073;  162.626;      ;  36.67;    0.00;  20.64; 0.021;  696
1eRASS J011004.5-360322;017.51881739675;-36.05617240273; 126.8; 0.1271;   0.883;   111.9;    84.347;   36.639;  3.99; 109.56;  523.74;  20.62; 0.053;  862
1eRASS J011017.5-265213;017.57305535015;-26.87034080899; 127.6; 0.5359;   0.116;    14.8;    10.610;  115.337;      ;  37.87;    0.00;  21.21; 0.021;  747
1eRASS J011018.8-444529;017.57858756248;-44.75823920604; 128.8; 0.3859;   0.441;    56.7;    41.621;  207.440;      ; 430.75;    0.00;  43.79; 0.095; 1009
